hinzufügen, add
der Bereich, area
die Überlegung, consideration
zufällig, random
der Fortschritt, progress
das Verhalten, behaviour
die Kante, edge
der Ablauf, procedure
die Abbildung, illustration
der Pfeil, arrow
die Anpassung, adjustment
die Ableitung, derivative
herkömmlich, conventional
schneiden, intersect
die Bedingung, condition
ermitteln, determine
geringer, less
die Bezeichnung, description
die Darstellung, representation
das Gleichgewicht, equilibrium
der Wettbewerb, competition
der Spielverlauf, game course
die Auszahlung, payoff
das Ergebnis, result
der Begriff, concept
die Zeile, row
die Spalte, column
das Teilgebiet, sub-area
übrigen, remaining
