wioska, village
cena, price
czynsz, rental payment
dom, house
dom szeregowiec, semi-detached house
dom wolnostojący, detached house
działka, plot of land
kamienica, apartment house
liczba, number
magazyn, warehouse
miesiąc, month
mieszkanie, flat
najmu, lease
nieruchomość, real estate
ogłoszenie, announcement
opis, description
opłata, fee
otoczenie, surroundings
piętro, floor
poddasze, attic
pokój, room
poziom, level
prąd, current
przystanek autobusowy, bus stop
sąsiad, neighbour
sklep, shop
suterena, basement
umeblowane, furnished
winda, elevator
widokiem, view
w pełni wyposażony, fully equipped
zabudowa, building
zamiana, exchange
