wir haben es geschafft, we made it
gewaltig, enormous
die Truhe, chest
der Dachboden, attic
der Schornstein, chimney
die Burg, castle
steif, stiff
plaudern, chat
entsprechend, corresponding
mit Vergnügen, with pleasure
schießen, shoot
wach, awake
der Wecker, alarm clock
schnupfen haben, to have a cold
verdrehen, twist
der Zeiger, pointer
das Regal, shelf
das Geräusch, noise
unangenehm, unpleasant
der Verwalter, manager
verstecken, hide
das tue ich nicht, I do not do that
erschrecken, scare
der Umzug, move
die Eiche, oak
beschädigen, damage
verdächtig, suspicious
gestatten, permit
