holy, heilig
surprised, überrascht
dark, dunkel
ambitious, ehrgeizig
annoying, ärgerlich
bad, schlecht
beautiful, schön
brave, tapfer
careless, unbesonnen
certain, bestimmt
cheerful, fröhlich
conceited, eingebildet
conventional, herkömmlich
coward, feigling
crazy, verrückt
cruel, grausam
difficult, schwierig
unpleasant, unangenehm
easy, leicht
fake, unecht
fat, fett
frequent, häufig
generous, großzügig
hard-working, fleißig
honest, ehrlich
laid-back, entspannend
lazy, faul
low, niedrig
modest, bescheiden
perfect, vollkommen
pious, fromm
polite, höfflich
poor, arm
proud, stolz
reliable, zuverlässig
sensitive, empfindlich
shy, schüchtern
slim, schlank
strict, streng
stubborn, störrisch
ugly, hässlich
weak, schwach
weird, unheimlich
