trotzdem, nevertheless
ewig, forever
beziehungsweise, respectively
allerdings, however
vorhin, a little while ago
sogar, even
ungefähr, approximately
sonst, otherwise
doch, yet
eigentlich, actually
oben, above
nun, now
weit, far
schon, already
voran, in front
nirgends, nowhere
überall, everywhere
drüben, over there
weg, away
nahe, near
gerade, right now
gleich, in a minute
ehemalig, former
eben, just now
damals, back then
neulich, recently
zuletzt, in the end
zukünftig, in the future
bisher, so far
regelmäßig, regularly
häufig, often
ab und zu, every once in a while
unregelmäßig, irregularly
stets, always
ständig, constantly
mehrmals, repeatedly
übermäßig, excessively
dauernd, prolonged
zufällig, per chance
leidenschaftlich, passionately
beinahe, nearly
ziemlich, quite
unglaublich, incredibly
ungewöhnlich, unusually
fabelhaft, fabulously
