obróć się, to turn around
oddech, breath
skłon w przód, bend forward
zmienić, to change
otworzyć, to open
rozlużnić, to relax
powtórzyć, to repeat
wyciągnać, to pull out
rozciąganie, stretching
do przodu, forward
wdychać, to breathe in
wydychać, to breathe out
opuść głowę, head down
ciągnać, to pull
on złamał sobie nogę, he broke his leg, 5, 5
postarać się, to try
rozlużnij, relax
uśiąść, to sit down
ćwiczenia, exercise
chwytać, to grab
garbić się, to bend back
unieść w górę, to raise up
krążenie, circulation
złączyć, to put together
przetrzymać, to endure
pochylać się, to lean
zadzierać, to put up in the air
