unbewussten, unconscious
dabei, there
die Seele, soul
die Traumdeutung, dream interpretation
der Ausdruck, expression
das Bewußtsein, consciousness
die Beziehung, relationship
der Zusammenhang, connection
der Eindruck, impression
damals, back then
übrigens, by the way
die Tätigkeit, activity
die Auffassung, perception
die Kindheit, childhood
die Aufklärung, enlightenment
die Behandlung, treatment
die Befriedigung, satisfaction
das Urteil, judgement
die Bedingung, condition
der Knabe, boy
die Untersuchung, examination
enthalten, contain
erhalten, receive
die Anspielung, allusion
die Empfindung, sensation
die Leistung, power
die Rücksicht, consideration
die Verdichtung, compression
die Behauptung, assertion
die Wirkung, effect
der Gegenstand, object
bezeichnen, describe
der Widerstand, resistance
ermöglichen, enable
