baw się dobrze, have a good time
jestem ciekawa, I am curious
jak masz na imię, what is your name
jak się masz, how are you
czy tutaj mieszkasz, do you live here
jak długo, how long
ile masz lat, how old are you
czy, is
który, which
jaki, what
gdzie, where
jak, how
kiedy, when
czemu, why
czyja, whose
kogo, whom
kto, who
ile, how many
wyłącznie, only
dla, for
lub, or
z, from
w niedzielę, on Sunday
ze sobą, together
zatem, therefore
wtedy po angielsku, then in English
już, already
ile, how many
godzina, hour
miesiąc, month
rok, year
2 lata temu, 2 years ago
wczora, yesterday
jutro, tomorrow
