accelerate, beschleunigen
acceleration, die Beschleunigung
accident, der Unfall
air conditioning, die Klimatisierung
ashtray, der Aschenbecher
to be on the road, auf Achse sein
back seat, der Rücksitz
brake, die Bremse
brake fluid, die Bremsflüssigkeit
brake light, das Bremslicht
braking distance, der Bremsweg
to slam on the brakes, auf die Klötzer treten
car rental, der Autoverleih
car crash, der Autounfall
child seat, der Kindersitz
cigarette lighter, der Zigarettenanzünder
clutch, die Kupplung
clutch pedal, das Kupplungspedal
collision, der Zusammenstoß
controls, die Schalter
accident, der Unfall
diesel fuel, das Dieselöl
dim headlights, das Abblendlicht
directional signal, der Blinker
door handle, der Türgriff
door lock, die Türverriegelung
driving licence, der Führerschein
emergency, der Notfall
emergency brake, die Handbremse
emission, die Abgase
exhaust, der Auspuff
exhaust pipe, das Auspuffrohr
first aid kit, der Verbandskasten
front door, die Vordertür
rear door, die Hintertür
front seat, der Vordersitz
fuel gauge, die Benzinuhr
gear, der Gang
neutral gear, der Leerlauf
switch gears, schalten
gearbox, das Getriebe
heater, die Heizung
roof, das Verdeck
side mirror, der Außenspiegel
rear-view mirror, der Rückspiegel
neutral gear, der Leerlauf
oil change, der Ölwechsel
oil level, der Ölstand
one-way street, die Einbahnstraße
overtake, überholen
owner, der Besitzer
parking ticket, der Strafzettel
passenger, der Beifahrer
passenger seat, der Beifahrersitz
pavement, der Bodenbelag
piston, der Kolben
pressure, der Druck
flat tire, die Reifenpanne
rear wheel, das Hinterrad
rear window, das Heckfenster
remote control, die Fernsteuerung
reverse gear, der Rückwärtsgang
drive in reverse, rückwärts fahren
rim, die Felge
seat belt, der Sicherheitsgurt
front seat, der Vordersitz
maintenance, die Wartung
traffic light, die Ampel
speed, die Geschwindigkeit
at the wheel, am Steuer
road map, die Straßenkarte
street sign, das Straßenschild
tire, der Reifen
toll, die Maut
tow, schleppen
traffic, der Verkehr
traffic jam, der Stau
vehicle, das Fahrzeug
wiper, der Wischer
