der Genosse, comrade 
der Häftling, prisoner 
sonst, otherwise 
die Staatssicherheit, state security 
Der Künstler, Artist 
der Bericht, report 
die Abteilung, Department 
die Überwachung, monitoring 
sauber, clean 
der Stück, piece 
dabei, while 
schwalber, swallow 
sowieso, anyway 
der Jahrestag, anniversary 
der Wachmann, guard 
die Aussage, statement 
der Schriftsteller, writer 
vermutlich, probably 
erfasst, detected 
der Selbstmord, suicide 
die Wache, guard duty
verdacht, suspected 
verzeihen, forgive 
der Hinweis, Note
einsperren, lock up 
bestätigen, to confirm 
die Geduld, patience 
die Anspannung, tension 
zermahlen, grind 
das Schwert, sword 
die Äußerung, expression 
ansonsten, otherwise 
die Verschwiegenheit, secrecy 
fesseln, tie up 
der Hochstapler, impostor
beziehen, Respectively 
warst, wicked 
genossen, enjoyed 
der Feind, enemy 
die Bühne, stage 
verwalten, administer
verstecken, hide 
verkleinern, zoom out 
außerhalb, outside
erstaunt, amazed
der Rat, council
das Beweismaterial, evidence
